timeframe,name,change in price,port,product,std from avg
60d,62.5%纽曼粉品牌价格：天津港（日）,210.0,Tianjin,62.5%纽曼粉,1.8457006092842063
5d,57%杨迪粉品牌价格：天津港（日）,12.0,Tianjin,57%杨迪粉,0.4472135954999537
10d,57%杨迪粉品牌价格：天津港（日）,62.0,Tianjin,57%杨迪粉,0.9624924945170024
15d,57%杨迪粉品牌价格：天津港（日）,107.0,Tianjin,57%杨迪粉,1.14149940409955
20d,57%杨迪粉品牌价格：天津港（日）,82.0,Tianjin,57%杨迪粉,1.42982607906083
25d,57%杨迪粉品牌价格：天津港（日）,144.0,Tianjin,57%杨迪粉,1.5609121207091583
30d,57%杨迪粉品牌价格：天津港（日）,173.0,Tianjin,57%杨迪粉,1.5911761329349898
40d,57%杨迪粉品牌价格：天津港（日）,201.0,Tianjin,57%杨迪粉,1.7376903557418113
50d,57%杨迪粉品牌价格：天津港（日）,196.0,Tianjin,57%杨迪粉,1.9104317717983847
60d,57%杨迪粉品牌价格：天津港（日）,234.0,Tianjin,57%杨迪粉,2.053121344156161
5d,62%巴粗（SSFT）品牌价格：天津港（日）,9.0,Tianjin,62%巴粗（SSFT）,0.762000762001143
10d,62%巴粗（SSFT）品牌价格：天津港（日）,58.0,Tianjin,62%巴粗（SSFT）,1.0326801969018637
15d,62%巴粗（SSFT）品牌价格：天津港（日）,83.0,Tianjin,62%巴粗（SSFT）,1.3177196206537005
20d,62%巴粗（SSFT）品牌价格：天津港（日）,64.0,Tianjin,62%巴粗（SSFT）,1.6007802111652967
25d,62%巴粗（SSFT）品牌价格：天津港（日）,113.0,Tianjin,62%巴粗（SSFT）,1.6982258204793121
30d,62%巴粗（SSFT）品牌价格：天津港（日）,154.0,Tianjin,62%巴粗（SSFT）,1.6334605238330357
40d,62%巴粗（SSFT）品牌价格：天津港（日）,175.0,Tianjin,62%巴粗（SSFT）,1.705056036353316
50d,62%巴粗（SSFT）品牌价格：天津港（日）,181.0,Tianjin,62%巴粗（SSFT）,1.854780736173976
60d,62%巴粗（SSFT）品牌价格：天津港（日）,228.0,Tianjin,62%巴粗（SSFT）,1.9612338699094314
5d,62.5%巴混（BRBF）品牌价格：天津港（日）,9.0,Tianjin,62.5%巴混（BRBF）,0.762000762001143
10d,62.5%巴混（BRBF）品牌价格：天津港（日）,58.0,Tianjin,62.5%巴混（BRBF）,1.0326801969018637
15d,62.5%巴混（BRBF）品牌价格：天津港（日）,83.0,Tianjin,62.5%巴混（BRBF）,1.3177196206537005
20d,62.5%巴混（BRBF）品牌价格：天津港（日）,64.0,Tianjin,62.5%巴混（BRBF）,1.6007802111652967
25d,62.5%巴混（BRBF）品牌价格：天津港（日）,113.0,Tianjin,62.5%巴混（BRBF）,1.6982258204793121
30d,62.5%巴混（BRBF）品牌价格：天津港（日）,154.0,Tianjin,62.5%巴混（BRBF）,1.6334605238330357
40d,62.5%巴混（BRBF）品牌价格：天津港（日）,175.0,Tianjin,62.5%巴混（BRBF）,1.705056036353316
50d,62.5%巴混（BRBF）品牌价格：天津港（日）,181.0,Tianjin,62.5%巴混（BRBF）,1.854780736173976
60d,62.5%巴混（BRBF）品牌价格：天津港（日）,228.0,Tianjin,62.5%巴混（BRBF）,1.9612338699094314
